Epochs,HSV_AlexNet_Train_Acc,HSV_AlexNet_Test_Acc,HSV_AlexNet_Train_Loss,HSV_AlexNet_Test_Loss,HSV_ResNet34_Train_Acc,HSV_ResNet34_Test_Acc,HSV_ResNet34_Train_Loss,HSV_ResNet34_Test_Loss,HSV_ResNet50_Train_Acc,HSV_ResNet50_Test_Acc,HSV_ResNet50_Train_Loss,HSV_ResNet50_Test_Loss,HSV_VGG16_Train_Acc,HSV_VGG16_Test_Acc,HSV_VGG16_Train_Loss,HSV_VGG16_Test_Loss
1,0.751612107,0.763020833,0.641468419,0.797632528,93.65740741,84.07407407,0.203682143,0.496566312,97.63888889,87.96296296,0.093310121,0.384465966,36.94444444,59.44444444,1.753214543,1.210854085
2,0.720920146,0.654017866,0.752542754,0.790840705,93.88888889,87.03703704,0.1803189,0.394573765,97.82407407,87.03703704,0.088121453,0.41658974,60.0462963,72.77777778,1.142584735,0.877021478
3,0.722532246,0.586867571,0.695840763,0.900220374,95.69444444,89.44444444,0.134059966,0.324922894,97.22222222,87.77777778,0.098304607,0.387762328,67.4537037,71.48148148,0.930345346,0.79966057
4,0.769283235,0.71093752,0.629008055,0.831643979,97.12962963,90.55555556,0.085981807,0.291006544,97.82407407,86.2962963,0.077750862,0.414876746,70.60185185,73.33333333,0.818665934,0.776898635
5,0.775545637,0.756138404,0.617667844,0.811430971,98.19444444,89.44444444,0.062482903,0.309381043,98.75,90.37037037,0.051420963,0.336213662,72.87037037,80.74074074,0.773028402,0.556166039
6,0.761160718,0.70703127,0.660191801,0.8524008,97.96296296,91.48148148,0.068898855,0.265455021,98.05555556,90,0.0650747,0.361883879,77.5462963,78.7037037,0.615912109,0.570329401
7,0.766493062,0.732328892,0.613435692,0.734078169,98.93518519,91.48148148,0.040439888,0.240262772,98.33333333,87.77777778,0.051132475,0.37686109,82.12962963,79.62962963,0.520894986,0.607359101
8,0.766121036,0.638392866,0.610455669,0.996740897,98.65740741,91.48148148,0.050614706,0.285239422,98.56481481,88.88888889,0.051674795,0.387705351,81.01851852,81.66666667,0.519506735,0.565310845
9,0.776475701,0.761532744,0.578605142,0.766156559,98.98148148,91.2962963,0.032606481,0.284115992,98.65740741,87.96296296,0.051567735,0.385193381,82.4537037,80.55555556,0.514915727,0.500054197
10,0.779389885,0.747023821,0.615001811,0.794981554,99.62962963,92.77777778,0.025593678,0.250933324,98.61111111,89.62962963,0.046921208,0.33398744,86.57407407,87.40740741,0.433274352,0.417741293
11,0.792596731,0.753162225,0.564810574,0.715297004,99.67592593,90.92592593,0.019263569,0.271350188,99.21296296,90.55555556,0.039480256,0.364173631,85.97222222,84.07407407,0.403180516,0.460624326
12,0.790426592,0.755022327,0.565300975,0.739377422,99.62962963,92.59259259,0.016012846,0.263488738,99.25925926,90.18518519,0.033102995,0.352176906,86.57407407,85.37037037,0.384596543,0.430914504
13,0.773065481,0.770461321,0.593635817,0.78063795,99.39814815,93.7037037,0.018213103,0.212845388,99.30555556,89.62962963,0.032233493,0.337221884,88.28703704,87.40740741,0.33603572,0.392778873
14,0.81820437,0.752046148,0.509755356,0.784845591,99.58333333,92.03703704,0.018993543,0.248131142,99.21296296,90.55555556,0.037827701,0.383464697,90.18518519,86.66666667,0.297927469,0.370497147
15,0.801773316,0.770647327,0.518634299,0.760690987,99.81481481,91.66666667,0.013622059,0.331756382,99.58333333,90,0.026517984,0.413656746,89.81481481,87.22222222,0.292160728,0.408032753
16,0.792844746,0.742559532,0.555188547,0.781297515,99.76851852,93.88888889,0.014542411,0.209249098,99.39814815,87.96296296,0.030041075,0.402114411,90.97222222,88.33333333,0.243652908,0.365490481
17,0.817150301,0.771577398,0.497928451,0.78494674,99.9537037,91.85185185,0.011429483,0.264666458,99.67592593,90.37037037,0.025243098,0.352922149,91.38888889,86.48148148,0.246434027,0.411622877
18,0.824218757,0.737723231,0.497273773,0.752980699,99.81481481,92.96296296,0.012321555,0.247332101,99.39814815,89.07407407,0.02736988,0.343787955,91.75925926,85.18518519,0.236770631,0.42526684
19,0.814112107,0.738467276,0.517241253,0.778887252,99.72222222,90.55555556,0.012780794,0.250751439,99.35185185,92.03703704,0.025335677,0.294956323,92.03703704,88.51851852,0.225994383,0.384618511
20,0.828249011,0.79148066,0.455383334,0.712363636,99.86111111,91.66666667,0.009121983,0.282541088,99.62962963,88.7037037,0.019952669,0.418589097,93.19444444,86.85185185,0.225369507,0.432226359
21,0.816716274,0.758742571,0.477928658,0.886722157,99.76851852,92.22222222,0.012354402,0.26526432,99.25925926,87.59259259,0.031082332,0.342906238,94.25925926,89.44444444,0.179787663,0.413076892
22,0.794332842,0.749069949,0.555618372,0.870858431,99.90740741,91.66666667,0.007377589,0.259510704,99.67592593,89.44444444,0.019182268,0.324569353,94.53703704,88.51851852,0.170321017,0.367698653
23,0.820126494,0.765438994,0.484938333,0.762903149,99.86111111,91.85185185,0.007798381,0.278529429,99.81481481,88.88888889,0.01370513,0.381478373,94.02777778,89.62962963,0.174255108,0.353455058
24,0.833085318,0.708147327,0.450908883,1.009454588,99.86111111,91.2962963,0.008505444,0.256812835,99.9537037,88.33333333,0.013679473,0.388187008,92.68518519,82.03703704,0.220829019,0.561447157
25,0.808035718,0.757440488,0.523166726,0.890950948,99.72222222,92.96296296,0.01038923,0.223168072,99.58333333,87.96296296,0.018436018,0.414955109,94.16666667,89.81481481,0.16820599,0.313311846
26,0.822296633,0.765066981,0.499647097,0.807175537,99.9537037,92.59259259,0.006602124,0.284146375,99.67592593,89.07407407,0.018162105,0.333453717,95.87962963,90.55555556,0.141474934,0.295598167
27,0.829985122,0.77194941,0.446996583,0.752468025,99.90740741,92.59259259,0.007800499,0.241407152,99.67592593,91.48148148,0.015807604,0.2751864,94.30555556,87.03703704,0.164992523,0.471717572
28,0.823288692,0.720796148,0.47569215,0.824452172,99.9537037,93.33333333,0.005743323,0.265788002,99.76851852,89.07407407,0.014144334,0.327969344,94.35185185,91.66666667,0.1687265,0.309743588
29,0.817212303,0.736049116,0.487447957,0.867337982,99.90740741,92.40740741,0.006967385,0.252134739,99.86111111,89.62962963,0.010623357,0.323956499,96.57407407,89.07407407,0.101987514,0.325488897
30,0.846106158,0.754650315,0.435983198,0.8115517,99.90740741,92.40740741,0.006245005,0.22536679,99.76851852,90,0.01516517,0.362443923,95.74074074,89.07407407,0.125353557,0.360542595
31,0.844928079,0.742373526,0.419646558,0.849176447,99.81481481,92.77777778,0.009243444,0.239664153,99.76851852,90,0.012061372,0.342190592,96.2037037,90.37037037,0.111195194,0.308849139
32,0.855468757,0.746465782,0.369733628,0.930146714,100,92.03703704,0.00377135,0.267505243,99.72222222,91.48148148,0.01278025,0.325962757,97.36111111,92.40740741,0.088193579,0.291075379
33,0.853670637,0.786086321,0.392856121,0.732225696,99.9537037,93.14814815,0.005610933,0.24146982,99.72222222,89.44444444,0.01425991,0.32522933,96.66666667,90.55555556,0.105165711,0.305747862
34,0.857018855,0.801897327,0.394689358,0.773564537,99.90740741,91.85185185,0.004977213,0.278808625,99.81481481,89.07407407,0.011596675,0.381411167,97.31481481,90.37037037,0.094431359,0.309785269
35,0.865513398,0.749069949,0.354481561,0.863126963,99.9537037,93.14814815,0.004020225,0.225471959,99.81481481,90.74074074,0.01073515,0.339789699,96.57407407,87.59259259,0.103904825,0.418268202
36,0.86067709,0.759486616,0.372260511,0.848125199,100,92.03703704,0.003157568,0.237045541,99.86111111,90.18518519,0.011900086,0.332390605,96.06481481,87.96296296,0.099373378,0.465736745
37,0.854352686,0.725260417,0.405551232,1.085113181,99.9537037,92.77777778,0.00440223,0.234665347,99.76851852,90.92592593,0.011025214,0.309496137,97.08333333,90.74074074,0.092086358,0.384613566
38,0.815786216,0.764880975,0.502179656,0.758891284,100,93.14814815,0.003033696,0.233514423,99.90740741,89.62962963,0.008708963,0.334251031,97.68518519,91.11111111,0.061741816,0.3381892
39,0.846230163,0.749069949,0.422036529,0.932630122,100,92.96296296,0.002919754,0.247875772,99.81481481,88.7037037,0.008859163,0.393736652,97.77777778,89.07407407,0.072627225,0.353922552
40,0.857824908,0.744419654,0.393789328,0.904631813,99.9537037,92.40740741,0.002917793,0.298826371,99.90740741,90.18518519,0.00829456,0.313787966,96.2037037,88.7037037,0.113213334,0.360778973
41,0.841021829,0.756510417,0.427842644,0.855047175,99.9537037,92.96296296,0.004905648,0.223741482,99.9537037,90.18518519,0.007002975,0.3421811,97.26851852,90.55555556,0.101399241,0.304447253
42,0.855840776,0.770275315,0.386804322,0.840545932,100,92.77777778,0.002500768,0.230662194,99.90740741,91.2962963,0.009409827,0.301858575,97.17592593,86.2962963,0.07851696,0.466779272
43,0.854414688,0.754092276,0.393554148,0.954449554,99.9537037,93.14814815,0.004174315,0.21775793,99.9537037,90.74074074,0.008683172,0.289258254,98.37962963,91.66666667,0.049132589,0.34963883
44,0.856088797,0.765252988,0.397587369,0.875009477,100,92.59259259,0.003137696,0.23829899,99.76851852,90.18518519,0.010598019,0.335127562,97.4537037,88.7037037,0.065122993,0.384258071
45,0.864087303,0.723958353,0.374954793,0.98359108,99.9537037,91.66666667,0.003892698,0.255582607,99.81481481,90,0.010264193,0.345741964,97.73148148,89.25925926,0.075346401,0.351162543
46,0.85497272,0.737165193,0.386272464,0.929720163,99.90740741,92.40740741,0.004916278,0.277747942,99.76851852,89.44444444,0.011082077,0.316400842,97.73148148,88.33333333,0.061413864,0.365541701
47,0.858196927,0.791108648,0.37513918,0.838932042,100,92.03703704,0.002275733,0.243609798,99.9537037,88.88888889,0.007448947,0.36757252,98.65740741,88.7037037,0.048600409,0.422763202
48,0.884982646,0.780691981,0.335595843,0.857678394,100,92.03703704,0.002663198,0.315097469,99.90740741,89.44444444,0.006857863,0.344332632,98.00925926,87.03703704,0.06017934,0.555765682
49,0.852554566,0.762090782,0.412388073,0.7301884,99.9537037,92.03703704,0.003036545,0.277178656,99.90740741,90,0.007204239,0.359403824,98.47222222,89.44444444,0.064474838,0.384903335
50,0.858134925,0.776785731,0.412304484,0.885578136,99.9537037,94.07407407,0.002775594,0.218388229,99.90740741,90.55555556,0.005934116,0.359430947,96.2037037,89.62962963,0.113570136,0.396798509
